15	886152427533	B12109002 	HAYWORTH	01	BERRICS MENS	OLV 	OLIVE	XX	36  	64	0			
15	886152427540	B12109002 	HAYWORTH	01	BERRICS MENS	OLV 	OLIVE	XX	38  	64	0			
15	886152427557	B12109002 	HAYWORTH	01	BERRICS MENS	OLV 	OLIVE	XX	40  	64	0			
15	886152416384	B12110001 	WILMINGTON	01	BERRICS MENS	HGR 	HTR GREY	XX	S   	79.5	0			
15	886152416391	B12110001 	WILMINGTON	01	BERRICS MENS	HGR 	HTR GREY	XX	M   	79.5	0			
15	886152416407	B12110001 	WILMINGTON	01	BERRICS MENS	HGR 	HTR GREY	XX	L   	79.5	0			
15	886152416414	B12110001 	WILMINGTON	01	BERRICS MENS	HGR 	HTR GREY	XX	XL  	79.5	0			
15	886152416421	B12110001 	WILMINGTON	01	BERRICS MENS	HGR 	HTR GREY	XX	XXL 	79.5	0			
15	886152416438	B12110001 	WILMINGTON	01	BERRICS MENS	RED 	DEEP RED	XX	S   	79.5	0			
15	886152416445	B12110001 	WILMINGTON	01	BERRICS MENS	RED 	DEEP RED	XX	M   	79.5	0			
15	886152416452	B12110001 	WILMINGTON	01	BERRICS MENS	RED 	DEEP RED	XX	L   	79.5	0			
15	886152416469	B12110001 	WILMINGTON	01	BERRICS MENS	RED 	DEEP RED	XX	XL  	79.5	0			
15	886152416476	B12110001 	WILMINGTON	01	BERRICS MENS	RED 	DEEP RED	XX	XXL 	79.5	0			
15	886152453754	B12121001 	ALAMEDA	01	BERRICS MENS	BLK 	BLACK	XX	S   	69	0			
15	886152453761	B12121001 	ALAMEDA	01	BERRICS MENS	BLK 	BLACK	XX	M   	69	0			
15	886152453778	B12121001 	ALAMEDA	01	BERRICS MENS	BLK 	BLACK	XX	L   	69	0			
15	886152453785	B12121001 	ALAMEDA	01	BERRICS MENS	BLK 	BLACK	XX	XL  	69	0			
15	886152453792	B12121001 	ALAMEDA	01	BERRICS MENS	BLK 	BLACK	XX	XXL 	69	0			
15	886152453808	B12121001 	ALAMEDA	01	BERRICS MENS	NVY 	NAVY	XX	S   	69	0			
15	886152453815	B12121001 	ALAMEDA	01	BERRICS MENS	NVY 	NAVY	XX	M   	69	0			
15	886152453822	B12121001 	ALAMEDA	01	BERRICS MENS	NVY 	NAVY	XX	L   	69	0			
15	886152453839	B12121001 	ALAMEDA	01	BERRICS MENS	NVY 	NAVY	XX	XL  	69	0			
