15	886152135421	B211S18004	WHT 	XX	L   	7	AT ONCE	
15	886152135452	B211S18005	BLK 	XX	S   	20	AT ONCE	
15	886152135469	B211S18005	BLK 	XX	M   	20	AT ONCE	
15	886152135476	B211S18005	BLK 	XX	L   	20	AT ONCE	
15	886152135483	B211S18005	BLK 	XX	XL  	20	AT ONCE	
15	886152135537	B211S18005	GRN 	XX	XL  	11	AT ONCE	
15	886152135575	B211S18005	WHT 	XX	L   	14	AT ONCE	
15	886152135582	B211S18005	WHT 	XX	XL  	20	AT ONCE	
15	886152401359	B31122001 	BLK 	XX	S   	20	AT ONCE	
15	886152401366	B31122001 	BLK 	XX	M   	20	AT ONCE	
15	886152401373	B31122001 	BLK 	XX	L   	20	AT ONCE	
15	886152401380	B31122001 	BLK 	XX	XL  	20	AT ONCE	
15	886152401397	B31122001 	BLK 	XX	XXL 	7	AT ONCE	
15	886152401434	B31122001 	HGR 	XX	S   	11	AT ONCE	
15	886152401441	B31122001 	HGR 	XX	M   	16	AT ONCE	
15	886152401458	B31122001 	HGR 	XX	L   	20	AT ONCE	
15	886152401465	B31122001 	HGR 	XX	XL  	13	AT ONCE	
15	886152401472	B31122001 	HGR 	XX	XXL 	8	AT ONCE	
15	886152401496	B31122002 	BLK 	XX	S   	14	AT ONCE	
15	886152401502	B31122002 	BLK 	XX	M   	20	AT ONCE	
15	886152401526	B31122002 	BLK 	XX	XL  	16	AT ONCE	
15	886152401540	B31122002 	HGR 	XX	S   	13	AT ONCE	
15	886152401557	B31122002 	HGR 	XX	M   	15	AT ONCE	
15	886152401564	B31122002 	HGR 	XX	L   	11	AT ONCE	
15	886152401571	B31122002 	HGR 	XX	XL  	7	AT ONCE	
15	886152401588	B31122002 	HGR 	XX	XXL 	6	AT ONCE	
15	886152331472	B31183101 	RED 	XX	ONE 	12	AT ONCE	
15	886152331496	B31189101 	CLR 	XX	ONE 	20	AT ONCE	
15	886152359421	B31196001 	BLK 	XX	ONE 	20	AT ONCE	
15	886152359438	B31196001 	KHA 	XX	ONE 	20	AT ONCE	
